# Ergebnis aus 230912_BeamNLinLaDisp.fem E100.000 F1000 D20
# Time,N102,Time,N206,Time,N102,Time,N206
0,0,0,0,0,0,0,0
0.1,-42.4511,0.1,-42.3758,0.1,-0.90132,0.1,-1.06895
0.2,-84.9059,0.2,-84.3087,0.2,-3.61049,0.2,-4.23879
0.3,-127.368,0.3,-125.384,0.3,-8.14327,0.3,-9.40257
0.4,-169.842,0.4,-165.238,0.4,-14.5265,0.4,-16.3946
0.5,-212.331,0.5,-203.576,0.5,-22.7988,0.5,-25.0064
0.6,-254.841,0.6,-240.176,0.6,-33.0121,0.6,-35.0047
0.7,-297.377,0.7,-274.891,0.7,-45.2331,0.7,-46.1483
0.8,-339.945,0.8,-307.645,0.8,-59.5456,0.8,-58.2018
0.9,-382.553,0.9,-338.414,0.9,-76.0546,0.9,-70.9456
1,-425.209,1,-367.225,1,-94.8898,1,-84.1826
